Bank_Name,City,State,Cert,Acquiring_Institution,Closing_Date,Estimated_Loss,Total_Assets,Total_Deposits
Integrity Bank,Jupiter,FL,57604,Stonegate Bank,2009-07-31,36586000,105298000,98511000
Mutual Bank,Harvey,IL,18659,United Central Bank,2009-07-31,793841000,1595657000,1546525000
First BankAmericano,Elizabeth,NJ,34270,Crown Bank,2009-07-31,20048000,163372000,155463000
Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.",2009-07-31,61523000,606153000,538787000
First State Bank of Altus,Altus,OK,9873,Herring Bank,2009-07-31,25969000,90867000,98161000
Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,2009-07-24,98201000,432712000,375238000
Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,2009-07-24,50980000,371624000,313155000
Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,2009-07-24,414269000,943744000,831437000
Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,2009-07-24,102031000,184184000,182413000
Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,2009-07-24,49000000,190564000,179523000
Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,2009-07-24,193409000,259182000,256578000
Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.",2009-07-24,7875000,55707000,56145000
Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,2009-07-17,227400000,1396622000,1276287000
Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,2009-07-17,278591000,1638378000,1526186000
First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,2009-07-17,37998000,114113000,108499000
BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.",2009-07-17,110201000,210844000,232203000
Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,2009-07-10,32543000,70188000,66598000
Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,2009-07-02,129512000,889172000,832160000
First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.",2009-07-02,24202000,148218000,140185000
The Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,2009-07-02,9832000,55027000,48131000
Rock River Bank,Oregon,IL,15302,The Harvard State Bank,2009-07-02,18558000,74808000,74896000
First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,2009-07-02,8030000,30073000,30806000
John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,2009-07-02,14315000,69609000,65179000
Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,2009-07-02,52700000,118601000,115478000
Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,2009-06-26,45309000,480619000,409951000
MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,2009-06-26,32168000,75316000,70078000
Neighborhood Community Bank,Newnan,GA,35285,CharterBank,2009-06-26,80745000,212616000,190070000
Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,2009-06-26,72063000,201222000,189398000
Horizon Bank,Pine City,MN,9744,"Stearns Bank, N.A.",2009-06-26,24010000,84763000,69254000
Southern Community Bank,Fayetteville,GA,35251,United Community Bank,2009-06-19,136636000,371695000,297962000
First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,2009-06-19,33230000,156954000,142551000
Cooperative Bank,Wilmington,NC,27837,First Bank,2009-06-19,287345000,966778000,768479000
Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,2009-06-05,71129000,212718000,209285000
Citizens National Bank,Macomb,IL,5757,Morton Community Bank,2009-05-22,31292000,438560000,393635000
Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,2009-05-22,92681000,546576000,479384000
"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,2009-05-21,5228684000,13111463000,8775985000
Westsound Bank,Bremerton,WA,34843,Kitsap Bank,2009-05-08,81292000,334608000,304464000
"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,2009-05-01,646009000,4157246000,3314928000
Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,2009-05-01,18402000,40657000,40664000
America West Bank,Layton,UT,35461,Cache Valley Bank,2009-05-01,114677000,281564000,286040000
First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,2009-04-24,8913000,1260354000,866492000
American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,2009-04-24,32962000,105950000,105940000
First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.",2009-04-24,109638000,490656000,370580000
Michigan Heritage Bank,Farmington Hills,MI,34369,Level One Bank,2009-04-24,48746000,167710000,149065000
American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,2009-04-17,44669000,166456000,170946000
Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,2009-04-17,20023000,238940000,220834000
New Frontier Bank,Greeley,CO,34881,No Acquirer,2009-04-10,913710000,1774588000,1496347000
Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,2009-04-10,118565000,492418000,402820000
